WnvPresent,Tavg,DewPoint,PrecipTotal,StnPressure,AvgSpeed,Rain,Mist,Dust,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,low_risk,medium_risk,high_risk,very_high_risk,DewPoint very_high_risk,Tavg very_high_risk,DewPoint CULEX PIPIENS,StnPressure very_high_risk,DewPoint StnPressure,Tavg DewPoint,mth_7,mth_8,mth_9,mth_10
0,69,56,0.6,29.19,10.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1634.64,3864.0,0,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,60.0,0.0,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,0,1,0,0,0,0,0,0,1,60.0,79.0,0.0,29.27,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,1,0,0,0,0,0,0,0,1,60.0,79.0,0.0,29.27,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,1,0,0,0,0,0,0,0,0,1,60.0,79.0,60.0,29.27,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.33,6.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1759.8,4740.0,1,0,0,0
0,79,60,0.0,29.33,6.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,60.0,0.0,1759.8,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,1,0,0,0,0,0,0,0,1,60.0,79.0,0.0,29.27,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,1756.2,4740.0,1,0,0,0
0,79,60,0.0,29.27,6.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1756.2,4740.0,1,0,0,0
